country,P__0__0,P__0__1,P__0__2,P__0__3,P__1__0,P__1__1,P__1__2,P__1__3,P__2__0,P__2__1,P__2__2,P__2__3,P__3__0,P__3__1,P__3__2,P__3__3,VA__0__0,VA__0__1,VA__1__0,VA__1__1,VA__2__0,VA__2__1,VA__3__0,VA__3__1
12,0.5,0.5848772522717373,0.08487725227173731,0.10992980115861935,0.4151227477282627,0.5,0.0,0.025052548886882027,0.9151227477282626,1.0,0.5,0.525052548886882,0.8900701988413807,0.974947451113118,0.474947451113118,0.5,-0.015977730716869747,-0.42723756924674444,-0.023508572493724154,-0.6286090025334518,0.020854561180444334,0.5576418944796258,0.01863174203014956,0.4982046773005703
13,0.5,0.5643447396220026,0.06434473962200259,0.15553792345103418,0.4356552603779974,0.5,0.0,0.0911931838290316,0.9356552603779975,1.0,0.5,0.5911931838290316,0.8444620765489659,0.9088068161709684,0.4088068161709684,0.5,-0.0,-0.39762234293658577,-0.0,-0.5406001893670189,0.0,0.5704296109738165,0.0,0.3677929213297882
14,0.5,0.42084172948777476,0.0,0.044723633656554025,0.5791582705122252,0.5,0.07915827051222525,0.12388190416877927,1.0,0.9208417294877748,0.5,0.5447236336565541,0.955276366343446,0.8761180958312208,0.455276366343446,0.5,-0.043477810126316754,-0.5516984729896913,-0.030169561803466607,-0.38282749589694415,0.04058319977658921,0.5149681936769753,0.03306417215319416,0.41955777520966014
15,0.5,0.528332422710573,0.07935167600075146,0.02833242271057303,0.47166757728942704,0.5,0.05101925329017843,0.0,0.9206483239992486,0.9489807467098216,0.5,0.4489807467098216,0.9716675772894269,1.0,0.5510192532901784,0.5,-0.115197797143747,-0.5681102212359679,-0.13030842258938594,-0.6426298820088541,0.10914797565585224,0.5382748814192068,0.1363582440772807,0.6724652218256152
16,0.5,0.5,0.0,0.04558699818940799,0.5,0.5,0.0,0.04558699818940799,1.0,1.0,0.5,0.545586998189408,0.954413001810592,0.954413001810592,0.454413001810592,0.5,-0.07223560923710008,-0.6178457155161349,-0.07223560923710008,-0.6178457155161349,0.07913619542202295,0.6768678190732639,0.06533502305217721,0.5588236119590059
17,0.5,0.48019247296736306,0.0,0.035190014972224515,0.5198075270326369,0.5,0.019807527032636923,0.05499754200486144,1.0,0.9801924729673631,0.5,0.5351900149722245,0.9648099850277756,0.9450024579951386,0.4648099850277755,0.5,-0.10105625558879229,-0.6136546145803318,-0.09292447044431172,-0.5642751135329991,0.10421382005169025,0.6328286280266314,0.08976690598141379,0.5451011000866995
18,0.5,0.4864748610225538,0.09703054255362924,0.0,0.5135251389774462,0.5,0.11055568153107546,0.013525138977446232,0.9029694574463708,0.8894443184689246,0.5,0.40296945744637075,1.0,0.9864748610225538,0.5970305425536292,0.5,-0.06936572051050391,-0.5828615756587077,-0.06527107111994095,-0.5484553332382588,0.05263070748182573,0.4422417422485248,0.08200608414861911,0.6890751666484416
19,0.5,0.5,0.06890218955509714,0.0,0.5,0.5,0.06890218955509714,0.0,0.9310978104449028,0.9310978104449028,0.5,0.43109781044490286,1.0,1.0,0.5689021895550971,0.5,-0.08371341006985478,-0.5357200100361397,-0.08371341006985478,-0.5357200100361397,0.07132365426926794,0.45643235353884637,0.09610316587044158,0.6150076665334328
20,0.5,0.5289241182808748,0.9792749636210135,1.0,0.4710758817191251,0.5,0.9503508453401386,0.9710758817191251,0.02072503637898657,0.04964915465986143,0.5,0.5207250363789866,0.0,0.028924118280874857,0.4792749636210134,0.5,0.5979885326369381,0.10347655090133281,0.5293660101249378,0.09160203900663393,-0.5390921783857364,-0.09328506516881706,-0.5882623643761394,-0.10179352473914971
21,0.5,0.4551145784199732,0.9144035983919871,0.9551145784199733,0.5448854215800267,0.5,0.959289019972014,1.0,0.08559640160801282,0.04071098002798604,0.5,0.540710980027986,0.044885421580026785,0.0,0.459289019972014,0.5,0.5244403501447373,0.03465973110190611,0.6386231839479017,0.04220595883777558,-0.5297499757333916,-0.0350106388745513,-0.6333135583592475,-0.04185505106513039
22,0.5,0.5915922267170556,1.0,1.0,0.4084077732829444,0.5,0.9084077732829444,0.9084077732829444,0.0,0.09159222671705558,0.5,0.5,0.0,0.09159222671705558,0.5,0.5,0.6942181303891495,0.13559127545392,0.46121909344685036,0.0900830479738456,-0.5777186119179999,-0.11283716171388278,-0.5777186119179999,-0.11283716171388278
23,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.6575475519172347,0.10263503782024126,0.6575475519172347,0.10263503782024126,-0.6575475519172347,-0.10263503782024126,-0.6575475519172347,-0.10263503782024126
24,0.5,0.5501603145241974,1.0,0.9459555334339639,0.44983968547580255,0.5,0.9498396854758026,0.8957952189097664,0.0,0.05016031452419745,0.5,0.4459555334339639,0.05404446656603612,0.10420478109023357,0.5540444665660361,0.5,0.5312617855776861,0.07539192677748974,0.4242531145927315,0.06020621211389577,-0.5354048810889807,-0.07597987788163328,-0.4201100190814369,-0.059618261009752226
25,0.5,0.5621375302269231,1.0,0.9261860030806035,0.43786246977307686,0.5,0.937862469773077,0.8640484728536805,0.0,0.06213753022692314,0.5,0.42618600308060356,0.07381399691939644,0.13595152714631958,0.5738139969193964,0.5,0.5271058844306808,0.0,0.39454581994657834,0.0,-0.5395607822359858,-0.0,-0.3820909221412734,-0.0
26,0.5,0.5,1.0,0.9476629652879524,0.5,0.5,1.0,0.9476629652879524,0.0,0.0,0.5,0.4476629652879524,0.0523370347120476,0.0523370347120476,0.5523370347120476,0.5,0.5452510011084185,0.07172472663212659,0.5452510011084185,0.07172472663212659,-0.6054766754611541,-0.07964707802699642,-0.4850253267556829,-0.06380237523725679
27,0.5,0.548772679656024,1.0,1.0,0.4512273203439759,0.5,0.951227320343976,0.951227320343976,0.0,0.04877267965602409,0.5,0.5,0.0,0.04877267965602409,0.5,0.5,0.6789300915291229,0.10764082364133179,0.5526367945914282,0.08761768035696964,-0.6157834430602755,-0.0976292519991507,-0.6157834430602755,-0.0976292519991507
28,0.5,0.5139649230861343,1.0,0.9899936953590299,0.48603507691386577,0.5,0.9860350769138658,0.9760287722728958,0.0,0.01396492308613424,0.5,0.4899936953590301,0.010006304640969974,0.02397122772710421,0.5100063046409699,0.5,0.577641484187701,0.10304133077407662,0.5455018371949409,0.09730816913766803,-0.5730861923818716,-0.10222874486640592,-0.5500571290007703,-0.0981207550453387
29,0.5,0.5252648145225123,1.0,0.9712203479564763,0.4747351854774877,0.5,0.9747351854774877,0.9459555334339639,0.0,0.025264814522512266,0.5,0.4712203479564762,0.028779652043523785,0.05404446656603612,0.5287796520435237,0.5,0.6210510282682681,0.08959227494614082,0.5580666924084988,0.08050621006773115,-0.625432214338695,-0.09022430099415557,-0.5536855063380718,-0.07987418401971637
